Date,Source,Title,Headline
2024-02-08,bbc-news,US FCC makes AI generated robocalls illegal,moves comes concerns grow around misinformation artificial intelligence ahead election
2024-02-09,bbc-news,Pakistan election Imran Khan and Nawaz Sharif each claim advantage,Independent candidates backed jailed Imran Khan have most seats party
2023-12-31,bbc-news,Chris Mason Get ready general election talk will dominate,year political parties focusing their planning attention polls ahead
2024-01-19,bbc-news,Eisenkot Key Israeli war leader challenges Netanyahu over Gaza strategy,Gadi Eisenkot condemns prime minister insists Israel offensive will until complete victory
2024-02-09,bbc-news,Haldwani Uttarakhand on alert after four dead in clashes over mosque demolition,Violence broke Uttarakhand state after authorities demolished mosque alleging illegal
2024-01-10,bbc-news,China tells US it will never compromise on Taiwan,China have held their first talks since days before crucial election Taiwan
2024-01-17,bbc-news,Poland s leaders caught up in battle for airwaves,Public radio caught political crossfire Poland shifts away from right
2024-01-07,bbc-news,Taiwan election China sows doubt about US with disinformation,Beijing pushing scepticism drive wedge between Taiwan biggest ally analysts
2024-02-08,bbc-news,What does Vladimir Putin gain from his Tucker Carlson interview,Russian leader first interview with Western media since invading Ukraine comes opportune time
2024-01-17,bbc-news,Why these Taiwanese Americans flew home to vote,They returned vote election that China framed choice between peace
2024-01-08,bbc-news,China sanctions five US defence firms over Taiwan arms sales,announcement comes Taiwan prepares hold presidential parliamentary elections January
2024-01-22,bbc-news,Joseph Boakai Liberia s new president takes on tough challenge,Joseph Boakai change Liberia fortunes takes over from footballer George Weah
2024-01-23,bbc-news,UAE has funded political assassinations in Yemen BBC finds,United Arab Emirates paid killing political enemies Yemen whistleblowers
2024-02-10,bbc-news,Newspaper headlines Bloodbath fears in Gaza and King bonds with Fergie,Israel move into Rafah King health elections feature today front pages
2024-01-10,bbc-news,What is South Africa s genocide case against Israel at the ICJ,International Court Justice will consider whether Israel committing genocide Gaza
2024-01-25,bbc-news,Qatar appalled by reported criticism from Israel s Netanyahu,Israeli apparently recorded calling role mediator Gaza problematic
2024-01-11,bbc-news,China and Taiwan Love and longing across the strait,Beijing made position clear Taiwan what country citizens want
2024-01-06,bbc-news,General Tso s chicken to bento bowls A food guide to Taiwan politics,Unique flavour combinations profiles represent Taiwan unique identity starting take shape
2024-01-24,bbc-news,Adani Ports The Tamil Nadu villagers taking on a billionaire s port plan,Locals villages Tamil Nadu state fighting expansion port owned Gautam Adani
2024-01-28,bbc-news,Haji Malang The Sufi shrine caught up in a religious row in Mumbai,Both Hindus Muslims visit Haji Malang shrine Mumbai controversy shaken some devotees
2024-02-03,bbc-news,Should we fear an attack of the voice clones,Audio deepfakes easy make hard detect getting more convincing experts
2024-01-11,bbc-news,Taiwan election It s not war young voters worry about it s jobs,With high home prices stagnant wages young voters care more about economy than Beijing threats
2024-02-06,bbc-news,Senegal on the brink after elections postponed,Senegal seen bastion democracy West Africa polls were delayed with three weeks
2024-01-30,bbc-news,US tightens sanctions on Venezuela after opposition ban confirmed,move comes after Venezuela Supreme Court upheld main opposition candidate
2024-01-24,bbc-news,Jenkins completes Newport County takeover,Jenkins completes takeover League Newport County become club majority shareholder chairman
2024-01-13,bbc-news,US election Why the world is watching so closely,first votes cast Monday election being watched just around world
2024-02-04,bbc-news,Online abuse to politicians run of the mill says MP Fay Jones,Jones says online abuse becoming barrier women entering politics
2024-02-04,bbc-news,Namibia President Hage Geingob dies aged,world leader revealed cancer diagnosis public last month
2024-02-07,bbc-news,Ronna McDaniel offers Trump her resignation as RNC head,comes after Donald Trump hinted that Republican chairwoman should leave post
2024-01-30,bbc-news,Plans for more Senedd politicians move step closer,Senedd members back expansion with more members principle despite worries over voting system
2024-01-17,bbc-news,Somalia turns back Ethiopian plane headed for Somaliland,plane carrying Ethiopian officials self declared republic Somaliland
2024-01-01,bbc-news,Justin Welby Political leaders should treat opponents as human beings,Archbishop Canterbury urges politicians forswear wedge issues avoid divisive topics
